
Epoch 5201/100000, Tr Loss: 0.6840, Tr Acc: 50.0000, Val Loss: 0.6910, Val Acc: 50.0000
Epoch 5301/100000, Tr Loss: 0.6755, Tr Acc: 55.7143, Val Loss: 0.6908, Val Acc: 50.0000
Epoch 5401/100000, Tr Loss: 0.7052, Tr Acc: 54.2857, Val Loss: 0.6908, Val Acc: 53.3333
Epoch 5501/100000, Tr Loss: 0.7347, Tr Acc: 45.7143, Val Loss: 0.6909, Val Acc: 53.3333
Epoch 5601/100000, Tr Loss: 0.7955, Tr Acc: 50.0000, Val Loss: 0.6910, Val Acc: 53.3333
Epoch 5701/100000, Tr Loss: 0.7951, Tr Acc: 57.1429, Val Loss: 0.6907, Val Acc: 53.3333
Epoch 5801/100000, Tr Loss: 0.8357, Tr Acc: 52.8571, Val Loss: 0.6907, Val Acc: 53.3333
Epoch 5901/100000, Tr Loss: 0.7802, Tr Acc: 44.2857, Val Loss: 0.6907, Val Acc: 53.3333
Epoch 6001/100000, Tr Loss: 0.7423, Tr Acc: 48.5714, Val Loss: 0.6908, Val Acc: 53.3333
Epoch 6101/100000, Tr Loss: 0.7319, Tr Acc: 47.1429, Val Loss: 0.6907, Val Acc: 53.3333
Epoch 6201/100000, Tr Loss: 0.7329, Tr Acc: 54.2857, Val Loss: 0.6906, Val Acc: 53.3333
Epoch 6301/100000, Tr Loss: 0.7180, Tr Acc: 62.8571, Val Loss: 0.6905, Val Acc: 53.3333
Epoch 6401/100000, Tr Loss: 0.7064, Tr Acc: 64.2857, Val Loss: 0.6905, Val Acc: 50.0000
Epoch 6501/100000, Tr Loss: 0.6715, Tr Acc: 58.5714, Val Loss: 0.6905, Val Acc: 50.0000
Epoch 6601/100000, Tr Loss: 0.7088, Tr Acc: 55.7143, Val Loss: 0.6904, Val Acc: 50.0000
Epoch 6701/100000, Tr Loss: 0.7061, Tr Acc: 55.7143, Val Loss: 0.6903, Val Acc: 46.6667
Epoch 6801/100000, Tr Loss: 0.7240, Tr Acc: 55.7143, Val Loss: 0.6904, Val Acc: 46.6667
Epoch 6901/100000, Tr Loss: 0.7300, Tr Acc: 60.0000, Val Loss: 0.6901, Val Acc: 46.6667
Epoch 7001/100000, Tr Loss: 0.7556, Tr Acc: 50.0000, Val Loss: 0.6900, Val Acc: 46.6667
