Epoch 5201/100000, Tr Loss: 0.6309, Tr Acc: 57.1429, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 5301/100000, Tr Loss: 0.5503, Tr Acc: 71.4286, Val Loss: 0.6685, Val Acc: 66.6667
Epoch 5401/100000, Tr Loss: 0.6029, Tr Acc: 78.5714, Val Loss: 0.6678, Val Acc: 66.6667
Epoch 5501/100000, Tr Loss: 0.6524, Tr Acc: 57.1429, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 5601/100000, Tr Loss: 0.5894, Tr Acc: 71.4286, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 5701/100000, Tr Loss: 0.7235, Tr Acc: 50.0000, Val Loss: 0.6694, Val Acc: 66.6667
Epoch 5801/100000, Tr Loss: 0.6208, Tr Acc: 50.0000, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 5901/100000, Tr Loss: 0.7671, Tr Acc: 35.7143, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 6001/100000, Tr Loss: 0.6460, Tr Acc: 57.1429, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 6101/100000, Tr Loss: 0.5684, Tr Acc: 64.2857, Val Loss: 0.6687, Val Acc: 66.6667
Epoch 6201/100000, Tr Loss: 0.7062, Tr Acc: 42.8571, Val Loss: 0.6682, Val Acc: 66.6667
Epoch 6301/100000, Tr Loss: 0.7820, Tr Acc: 35.7143, Val Loss: 0.6690, Val Acc: 66.6667
Epoch 6401/100000, Tr Loss: 0.7653, Tr Acc: 50.0000, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 6501/100000, Tr Loss: 0.5787, Tr Acc: 71.4286, Val Loss: 0.6692, Val Acc: 66.6667
Epoch 6601/100000, Tr Loss: 0.6227, Tr Acc: 64.2857, Val Loss: 0.6691, Val Acc: 66.6667
Epoch 6701/100000, Tr Loss: 0.6083, Tr Acc: 57.1429, Val Loss: 0.6685, Val Acc: 66.6667
Epoch 6801/100000, Tr Loss: 0.6365, Tr Acc: 64.2857, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 6901/100000, Tr Loss: 0.5928, Tr Acc: 71.4286, Val Loss: 0.6687, Val Acc: 66.6667
Epoch 7001/100000, Tr Loss: 0.7589, Tr Acc: 50.0000, Val Loss: 0.6685, Val Acc: 66.6667
Epoch 7101/100000, Tr Loss: 0.6651, Tr Acc: 57.1429, Val Loss: 0.6694, Val Acc: 66.6667
Epoch 7201/100000, Tr Loss: 0.8104, Tr Acc: 50.0000, Val Loss: 0.6692, Val Acc: 66.6667
Epoch 7301/100000, Tr Loss: 0.5375, Tr Acc: 71.4286, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 7401/100000, Tr Loss: 0.7734, Tr Acc: 42.8571, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 7501/100000, Tr Loss: 0.6475, Tr Acc: 71.4286, Val Loss: 0.6685, Val Acc: 66.6667
Epoch 7601/100000, Tr Loss: 0.6672, Tr Acc: 64.2857, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 7701/100000, Tr Loss: 0.5395, Tr Acc: 71.4286, Val Loss: 0.6680, Val Acc: 66.6667
Epoch 7801/100000, Tr Loss: 0.5044, Tr Acc: 85.7143, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 7901/100000, Tr Loss: 0.5188, Tr Acc: 78.5714, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 8001/100000, Tr Loss: 0.4736, Tr Acc: 92.8571, Val Loss: 0.6682, Val Acc: 66.6667
Epoch 8101/100000, Tr Loss: 0.6865, Tr Acc: 57.1429, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 8201/100000, Tr Loss: 0.7663, Tr Acc: 42.8571, Val Loss: 0.6685, Val Acc: 66.6667
Epoch 8301/100000, Tr Loss: 0.6604, Tr Acc: 64.2857, Val Loss: 0.6680, Val Acc: 66.6667
Epoch 8401/100000, Tr Loss: 0.6049, Tr Acc: 64.2857, Val Loss: 0.6696, Val Acc: 66.6667
Epoch 8501/100000, Tr Loss: 0.7296, Tr Acc: 57.1429, Val Loss: 0.6681, Val Acc: 66.6667
Epoch 8601/100000, Tr Loss: 0.6240, Tr Acc: 71.4286, Val Loss: 0.6687, Val Acc: 66.6667
Epoch 8701/100000, Tr Loss: 0.6865, Tr Acc: 35.7143, Val Loss: 0.6684, Val Acc: 66.6667
Epoch 8801/100000, Tr Loss: 0.7789, Tr Acc: 50.0000, Val Loss: 0.6692, Val Acc: 66.6667
Epoch 8901/100000, Tr Loss: 0.5390, Tr Acc: 71.4286, Val Loss: 0.6685, Val Acc: 66.6667
Epoch 9001/100000, Tr Loss: 0.6175, Tr Acc: 71.4286, Val Loss: 0.6687, Val Acc: 66.6667
Epoch 9101/100000, Tr Loss: 0.5309, Tr Acc: 78.5714, Val Loss: 0.6694, Val Acc: 66.6667
Epoch 9201/100000, Tr Loss: 0.6697, Tr Acc: 50.0000, Val Loss: 0.6685, Val Acc: 66.6667
Epoch 9301/100000, Tr Loss: 0.7634, Tr Acc: 71.4286, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 9401/100000, Tr Loss: 0.7068, Tr Acc: 71.4286, Val Loss: 0.6679, Val Acc: 66.6667
Epoch 9501/100000, Tr Loss: 0.5839, Tr Acc: 78.5714, Val Loss: 0.6684, Val Acc: 66.6667
Epoch 9601/100000, Tr Loss: 0.6438, Tr Acc: 71.4286, Val Loss: 0.6685, Val Acc: 66.6667
